TIMESTAMP;TAMB;TGND;ALPHA;BETA;EB;ED
1512270000;-1.7;7.3;80.8;-34.8;0.0;0.0
1512273600;-2.2;7.3;93.0;-25.8;0.0;0.0
1512277200;-1.7;7.3;104.4;-16.8;0.0;0.0
1512280800;-1.3;7.3;115.7;-8.2;0.0;0.0
1512284400;-0.9;7.3;127.2;-0.4;0.0;0.0
1512288000;-1.1;7.3;139.5;6.2;74.5;7.0
1512291600;-0.9;7.3;152.6;11.3;479.0;44.4
1512295200;0.2;7.2;166.4;14.5;575.1;54.7
1512298800;1.1;7.2;180.8;15.5;589.3;56.6
1512302400;1.6;7.2;195.1;14.2;188.7;17.9
1512306000;1.2;7.2;208.9;10.8;138.3;12.8
1512309600;0.9;7.2;221.9;5.5;66.4;6.4
1512313200;0.6;7.2;234.1;-1.3;0.0;0.0
1512316800;0.3;7.2;245.6;-9.2;0.0;0.0
1512320400;0.7;7.2;256.8;-17.8;0.0;0.0
1512324000;0.6;7.2;268.2;-26.8;0.0;0.0
1512327600;0.9;7.2;280.6;-35.9;0.0;0.0
1512331200;1.3;7.2;294.8;-44.6;0.0;0.0
1512334800;1.6;7.2;312.4;-52.2;0.0;0.0
1512338400;1.8;7.2;334.8;-57.6;0.0;0.0
1512342000;2.4;7.1;1.4;-59.5;0.0;0.0
1512345600;2.9;7.1;27.7;-57.2;0.0;0.0
1512349200;3.2;7.1;49.6;-51.5;0.0;0.0
1512352800;3.2;7.1;66.8;-43.8;0.0;0.0
1512356400;3.5;7.1;80.8;-35.0;0.0;0.0
1512360000;3.8;7.1;93.1;-25.9;0.0;0.0
1512363600;4.2;7.1;104.4;-16.9;0.0;0.0
1512367200;4.2;7.1;115.7;-8.4;0.0;0.0
1512370800;4.1;7.1;127.2;-0.6;0.0;0.0
1512374400;3.8;7.0;139.4;6.0;72.8;6.9
1512378000;4.5;7.0;152.5;11.1;302.6;28.0
1512381600;1.5;7.0;166.4;14.3;143.2;13.6
1512385200;3.9;7.0;180.7;15.3;524.8;50.3
1512388800;4.6;7.0;195.0;14.1;561.3;53.1
1512392400;4.8;7.0;208.8;10.7;409.5;37.7
1512396000;4.5;7.0;221.8;5.4;198.8;19.1
1512399600;3.6;7.0;233.9;-1.4;0.0;0.0
1512403200;3.3;7.0;245.4;-9.2;0.0;0.0
1512406800;2.7;7.0;256.6;-17.8;0.0;0.0
1512410400;2.4;6.9;268.0;-26.9;0.0;0.0
1512414000;2.5;6.9;280.4;-36.0;0.0;0.0
1512417600;1.1;6.9;294.6;-44.7;0.0;0.0
1512421200;1.1;6.9;312.2;-52.3;0.0;0.0
1512424800;1.4;6.9;334.6;-57.7;0.0;0.0
